,Unnamed: 0,unixepoch,pid,g_x,g_y,Rstep_len,Rstep,x_SG,y_SG,vx_SG,vy_SG,ng_x,ng_y,mov_x,mov_y,m_mov_x,m_mov_y,tL_x,tL_y,validTransition,K
13465,52370,1510210948455.0,13075004,178,93,236,0,177.89321075476536,93.0649084323046,-0.6530128656156373,-1.5062073174288255,177.0,92.0,-1,-1,0,2,1,1,True,7
13471,52371,1510210948555.0,13075004,177,92,236,1,177.29066643339064,91.8128526772688,-0.5601268010270353,-0.9729305495278168,177.0,91.0,0,-1,1,2,0,1,True,4
13472,52372,1510210948654.0,13075004,177,91,236,2,176.75141446340874,91.00533469287532,-0.5241290423319325,-0.6691193079878895,176.0,90.0,-1,-1,0,2,1,1,True,7
13479,52373,1510210948753.0,13075004,176,90,236,3,176.23132812288523,90.4293291520312,-0.5203991286909199,-0.528739207285724,176.0,90.0,0,0,1,1,0,0,True,0
13483,52374,1510210948852.0,13075004,176,90,236,4,175.70734888216157,89.93720949303204,-0.5306647591856294,-0.4989549469518797,175.0,90.0,-1,0,0,1,1,0,True,3
13487,52375,1510210948952.0,13075004,175,90,236,5,175.17183080180402,89.4331971447648,-0.5420336930251156,-0.5384230808964228,175.0,89.0,0,-1,1,2,0,1,True,4
13489,52376,1510210949051.0,13075004,175,89,236,6,174.6277586629826,88.8615623732183,-0.5460953919766478,-0.6156950175870075,174.0,88.0,-1,-1,0,2,1,1,True,7
13492,52377,1510210949150.0,13075004,174,88,236,7,174.08477724621517,88.19646963784783,-0.5380924050209086,-0.7077302510794208,173.0,87.0,-1,-1,0,2,1,1,True,7
13499,52378,1510210949249.0,13075004,173,87,236,8,173.55596917441193,87.43336034633936,-0.5161614952316036,-0.7985198229005745,173.0,86.0,0,-1,1,2,0,1,True,4
13500,52379,1510210949349.0,13075004,173,86,236,9,173.0553187361555,86.58176589631957,-0.4806445088794782,-0.87782001478397,173.0,86.0,0,0,1,1,0,0,True,0
13505,52380,1510210949448.0,13075004,173,86,236,10,172.59579910515205,85.65944389255736,-0.4334689867607442,-0.9399962722576124,172.0,85.0,-1,-1,0,2,1,1,True,7
13510,52381,1510210949547.0,13075004,172,85,236,11,172.18802037178818,84.68773042820308,-0.3775985177499146,-0.982977359084376,172.0,84.0,0,-1,1,2,0,1,True,4
13514,52382,1510210949646.0,13075004,172,84,236,12,171.83937580272973,83.68800131861101,-0.3165528345770453,-1.0073197425548417,172.0,83.0,0,-1,1,2,0,1,True,4
13519,52383,1510210949777.0,13075004,172,83,236,13,171.5536237444965,82.6791351762913,-0.2539976518293895,-1.015382209632577,171.0,82.0,-1,-1,0,2,1,1,True,7
13521,52384,1510210949876.0,13075004,171,82,236,14,171.33084258694925,81.67587121553723,-0.1934042461774616,-1.0106107139519007,171.0,80.0,0,-1,1,2,0,2,False,4
13527,52385,1510210949975.0,13075004,171,80,236,15,171.1676962422733,80.68795469396555,-0.1377787751964265,-0.9969334519596028,171.0,79.0,0,-1,1,2,0,1,True,4
13530,52386,1510210950074.0,13075004,171,79,236,16,171.07586484163244,79.73177715914582,-0.0902131646205237,-0.9839392563935844,171.0,79.0,0,0,1,1,0,0,True,0
13532,52387,1510210950174.0,13075004,171,79,236,17,170.98978011192344,78.82903582927581,-0.0526878273850246,-0.964755627409045,171.0,78.0,0,-1,1,2,0,1,True,4
13539,52388,1510210950273.0,13075004,171,78,236,18,170.97031813806254,77.84350290002213,-0.0243913925182055,-0.9477527716725536,171.0,77.0,0,-1,1,2,0,1,True,4
13543,52389,1510210950372.0,13075004,171,77,236,19,170.93427189867072,76.87836081363321,-0.0033757413472139,-0.9324055932456196,171.0,76.0,0,-1,1,2,0,1,True,4
13544,52390,1510210950472.0,13075004,171,76,236,20,170.9474788562629,75.87446149493017,0.0120029071242258,-0.9183658525111144,171.0,75.0,0,-1,1,2,0,1,True,4
13548,52391,1510210950571.0,13075004,171,75,236,21,170.93707071326048,74.90177621968408,0.0224025333027273,-0.9047292009259662,171.0,74.0,0,-1,1,2,0,1,True,4
13553,52392,1510210950670.0,13075004,171,74,236,22,170.98460901909624,74.00300872916199,0.027572714492944,-0.8955676603900393,171.0,74.0,0,0,1,1,0,0,True,0
13558,52393,1510210950769.0,13075004,171,74,236,23,171.03776973367033,73.2033649351159,0.0269192449807911,-0.8938903788784762,171.0,72.0,0,-1,1,2,0,2,False,4
13562,52394,1510210950869.0,13075004,171,72,236,24,171.00571846913164,72.39309399050703,0.0202196541787187,-0.9049877220761996,171.0,71.0,0,-1,1,2,0,1,True,4
13571,52395,1510210950968.0,13075004,171,71,236,25,171.01533512391177,71.47678530624398,0.0082057076460411,-0.9222974148344528,171.0,70.0,0,-1,1,2,0,1,True,4
13573,52396,1510210951067.0,13075004,171,70,236,26,171.06214935649828,70.49470147276519,-0.0075523180236003,-0.9430604871291683,171.0,69.0,0,-1,1,2,0,1,True,4
13578,52397,1510210951166.0,13075004,171,69,236,27,171.0441850882519,69.51134823356709,-0.0222871131838751,-0.9655991451127784,171.0,69.0,0,0,1,1,0,0,True,0
13585,52398,1510210951266.0,13075004,171,69,236,28,171.00777918087007,68.50592041700581,-0.0340910171714048,-0.9857802359868796,171.0,68.0,0,-1,1,2,0,1,True,4
13587,52399,1510210951365.0,13075004,171,68,236,29,171.0355450395652,67.49926273269604,-0.0398343687566025,-1.0035611441169123,171.0,67.0,0,-1,1,2,0,1,True,4
13596,52400,1510210951464.0,13075004,171,67,236,30,170.96927393479226,66.54487880056054,-0.0360426791114902,-1.014196759719733,171.0,66.0,0,-1,1,2,0,1,True,4
13600,52401,1510210951563.0,13075004,171,66,236,31,170.9002776252915,65.58367575281699,-0.0181844739999954,-1.0072989974862503,171.0,64.0,0,-1,1,2,0,2,False,4
13602,52402,1510210951663.0,13075004,171,64,236,32,170.86552411355618,64.50543575708771,0.0096814143878862,-0.9761081005494914,171.0,64.0,0,0,1,1,0,0,True,0
13609,52403,1510210951762.0,13075004,171,64,236,33,170.88195915513438,63.54930705257364,0.0464021440470387,-0.922732159289088,171.0,62.0,0,-1,1,2,0,2,False,4
13616,52404,1510210951884.0,13075004,171,62,236,34,170.9514567040694,62.67565765213686,0.0830563229354393,-0.8568009679559733,171.0,61.0,0,-1,1,2,0,1,True,4
13620,52405,1510210951983.0,13075004,171,61,236,35,171.06524825882116,61.90048112038401,0.1144390932091119,-0.7881093472450783,171.0,61.0,0,0,1,1,0,0,True,0
13623,52406,1510210952083.0,13075004,171,61,236,36,171.20783110866645,61.120942293278205,0.1336682360755201,-0.729197049646518,171.0,61.0,0,0,1,1,0,0,True,0
13627,52407,1510210952184.0,13075004,171,61,236,37,171.3603554805801,60.359656707789135,0.1405683241167117,-0.6882082139659064,171.0,60.0,0,-1,1,2,0,1,True,4
13634,52408,1510210952283.0,13075004,171,60,236,38,171.50349058659506,59.574494196527,0.1309378448319988,-0.6699235357672858,172.0,59.0,1,-1,2,2,1,1,True,8
13638,52409,1510210952382.0,13075004,172,59,236,39,171.61976957164336,58.97329803612399,0.1007336048197751,-0.6759742411044248,172.0,58.0,0,-1,1,2,0,1,True,4
13644,52410,1510210952482.0,13075004,172,58,236,40,171.69541336187604,58.36558303004604,0.0517241204691489,-0.7103102551690648,172.0,58.0,0,0,1,1,0,0,True,0
13650,52411,1510210952581.0,13075004,172,58,236,41,171.75048337780373,57.71354523013591,-0.0069426935687046,-0.7709112814017642,172.0,57.0,0,-1,1,2,0,1,True,4
13655,52412,1510210952680.0,13075004,172,57,236,42,171.69747407361476,56.983331023444464,-0.063887652544389,-0.8500770659241478,172.0,56.0,0,-1,1,2,0,1,True,4
13657,52413,1510210952779.0,13075004,172,56,236,43,171.58869491319848,56.0242703142182,-0.1084335213349931,-0.9324375604591456,171.0,55.0,-1,-1,0,2,1,1,True,7
13663,52414,1510210952879.0,13075004,171,55,236,44,171.45724482621284,54.94618956358705,-0.1319493390883459,-1.0036740914587827,171.0,54.0,0,-1,1,2,0,1,True,4
13667,52415,1510210952978.0,13075004,171,54,236,45,171.35257633931815,53.85599106268142,-0.132247010197811,-1.055302295585182,171.0,52.0,0,-1,1,2,0,2,False,4
13675,52416,1510210953077.0,13075004,171,52,236,46,171.20319678478808,52.760284576288406,-0.1146315837594267,-1.0865359462142992,171.0,52.0,0,0,1,1,0,0,True,0
13679,52417,1510210953176.0,13075004,171,52,236,47,171.09581038127027,51.70114670422487,-0.0854426123606613,-1.0973515973037562,171.0,51.0,0,-1,1,2,0,1,True,4
13686,52418,1510210953275.0,13075004,171,51,236,48,170.9759194112964,50.58497776933327,-0.0529636272115969,-1.090708023495923,171.0,50.0,0,-1,1,2,0,1,True,4
13688,52419,1510210953375.0,13075004,171,50,236,49,170.90248555675532,49.58277639693273,-0.0278077563052083,-1.0717257580679318,171.0,48.0,0,-1,1,2,0,2,False,4
13696,52420,1510210953474.0,13075004,171,48,236,50,170.8939950964268,48.53776141507969,-0.0150066009644977,-1.0433465554487615,171.0,47.0,0,-1,1,2,0,1,True,4
13701,52421,1510210953573.0,13075004,171,47,236,51,170.9671336005038,47.50761125254412,-0.0174809614189643,-1.0134763195031098,171.0,46.0,0,-1,1,2,0,1,True,4
13705,52422,1510210953673.0,13075004,171,46,236,52,171.02967592846505,46.492890737477246,-0.0361418603594354,-0.9919273395676694,171.0,46.0,0,0,1,1,0,0,True,0
13711,52423,1510210953772.0,13075004,171,46,236,53,171.0172147262337,45.56011293974387,-0.0690679969343204,-0.9805902656254918,171.0,45.0,0,-1,1,2,0,1,True,4
13712,52424,1510210953871.0,13075004,171,45,236,54,170.83930369755916,44.581606290487606,-0.1136631636203664,-0.97276652446136,171.0,44.0,0,-1,1,2,0,1,True,4
13719,52425,1510210953970.0,13075004,171,44,236,55,170.64029597303326,43.554843274833374,-0.1642514650062625,-0.9656525799750604,170.0,43.0,-1,-1,0,2,1,1,True,7
13724,52426,1510210954070.0,13075004,170,43,236,56,170.44138390488732,42.516403803673775,-0.212389540756571,-0.9553396149686432,170.0,41.0,0,-1,1,2,0,2,False,4
13730,52427,1510210954169.0,13075004,170,41,236,57,170.16425297674738,41.60075833698159,-0.2548470992467853,-0.9415928944772016,170.0,40.0,0,-1,1,2,0,1,True,4
13732,52428,1510210954268.0,13075004,170,40,236,58,169.86941158862345,40.71005313060789,-0.2908960767074147,-0.9263739597720252,170.0,40.0,0,0,1,1,0,0,True,0
13739,52429,1510210954367.0,13075004,170,40,236,59,169.64346830278282,39.78429432476805,-0.3239519685742835,-0.914110325565123,169.0,39.0,-1,-1,0,2,1,1,True,7
13744,52430,1510210954467.0,13075004,169,39,236,60,169.31182653858374,38.87803666635365,-0.3574756038100881,-0.9082844216550552,169.0,38.0,0,-1,1,2,0,1,True,4
13747,52431,1510210954566.0,13075004,169,38,236,61,168.9712052821993,38.05046467106952,-0.3896177234948053,-0.907807128848082,168.0,37.0,-1,-1,0,2,1,1,True,7
13754,52432,1510210954665.0,13075004,168,37,236,62,168.58128236293135,37.078137423990405,-0.4186462270005266,-0.9075848564380158,168.0,36.0,0,-1,1,2,0,1,True,4
13761,52433,1510210954764.0,13075004,168,36,236,63,168.1091472486409,36.12398816884194,-0.4439532779261874,-0.908862679698774,168.0,35.0,0,-1,1,2,0,1,True,4
13763,52434,1510210954864.0,13075004,168,35,236,64,167.65384292003898,35.229981815229024,-0.4652781360480666,-0.9058057862178208,168.0,35.0,0,0,1,1,0,0,True,0
13767,52435,1510210954963.0,13075004,168,35,236,65,167.1865917472294,34.3622252122324,-0.4800724705996395,-0.8993794625951481,167.0,34.0,-1,-1,0,2,1,1,True,7
13774,52436,1510210955062.0,13075004,167,34,236,66,166.7014333355965,33.445445716375964,-0.4866847767815065,-0.8884155518080996,166.0,33.0,-1,-1,0,2,1,1,True,7
13777,52437,1510210955161.0,13075004,166,33,236,67,166.20376234059162,32.593198018992446,-0.4793878012694428,-0.8685367873511172,165.0,31.0,-1,-1,0,2,1,2,False,7
13781,52438,1510210955261.0,13075004,165,31,236,68,165.6752192964654,31.722227361613967,-0.461723441055816,-0.8328021541259125,165.0,30.0,0,-1,1,2,0,1,True,4
13783,52439,1510210955360.0,13075004,165,30,236,69,165.18571298348678,30.90721313595541,-0.4444468898678768,-0.7832589497806748,165.0,30.0,0,0,1,1,0,0,True,0
13787,52440,1510210955459.0,13075004,165,30,236,70,164.79195743190837,30.132386797657546,-0.4320640757067724,-0.7248633465540611,164.0,30.0,-1,0,0,1,1,0,True,3
13792,52441,1510210955558.0,13075004,164,30,236,71,164.45731879885912,29.432207783412245,-0.4276079752504849,-0.6616907516291355,164.0,29.0,0,-1,1,2,0,1,True,4
13796,52442,1510210955658.0,13075004,164,29,236,72,164.07725613928565,28.889962554944987,-0.4387718759616184,-0.5913626903191812,164.0,28.0,0,-1,1,2,0,1,True,4
13800,52443,1510210955757.0,13075004,164,28,236,73,163.57808270139805,28.326879540563887,-0.4657237847133175,-0.5132964543324695,163.0,28.0,-1,0,0,1,1,0,True,3
13805,52444,1510210955856.0,13075004,163,28,236,74,162.99296610524567,27.785458961198948,-0.5038682526908618,-0.428606013158725,163.0,28.0,0,0,1,1,0,0,True,0
13808,52445,1510210955955.0,13075004,163,28,236,75,162.4802612068822,27.38423929670517,-0.5484487374140223,-0.3395256021045842,162.0,27.0,-1,-1,0,2,1,1,True,7
